mod_folder,name,title,manufacturer,description,TechRequired,category,size_class,size_m,size_source,is_hidden,hidden_reason
Squad,radialRCSTank,Stratus-V Roundified Monopropellant Tank,Stratus Corporation,"Despite its fanciful name, the Stratus-V is quite simple - a small, radially attachable RCS tank.",advFlightControl,FuelTank,Radial,,attachRules/bulkheadProfiles,FALSE,
Squad,linearRcs,Place-Anywhere 7 Linear RCS Port,Reaction Systems Ltd,"For every space that really needs an RCS thruster, Reaction Systems Ltd has you covered with its new Place-Anywhere 7 Linear RCS Port!",advFlightControl,Control,Radial,,attachRules/bulkheadProfiles,FALSE,
Squad,RCSBlock_v2,RV-105 RCS Thruster Block,STEADLER Engineering Corps,"The recent discovery of a third law of physics made it possible for STEADLER Corps engineers to produce these small monopropellant thrusters, to help with attitude control and linear motion. Even though many Kerbal physicists still dispute the validity of this new law, studies show that the thrusters seem to work as advertised.",advFlightControl,Control,Radial,,attachRules/bulkheadProfiles,FALSE,
Squad,RCSblock_01_small,RV-1X Variable Thruster Block,Reaction Systems Ltd,This small thruster block comes in a variety of variants that offer different RCS horn configurations to solve all your RCS needs.,advFlightControl,Control,Radial,,attachRules/bulkheadProfiles,FALSE,
Squad,RCSLinearSmall,Place Anywhere 1 Linear RCS Port,Reaction Systems Ltd,The smallest RCS thruster available.\n\nUseful when saving a few kilos is more important than snappier controls and is just the thing for those small probes.,advFlightControl,Control,Radial,,attachRules/bulkheadProfiles,FALSE,
Squad,linearRcs,Place-Anywhere 7 Linear RCS Port,Reaction Systems Ltd,"For every space that really needs an RCS thruster, Reaction Systems Ltd has you covered with its new Place-Anywhere 7 Linear RCS Port!",advFlightControl,Control,Radial,,attachRules/bulkheadProfiles,FALSE,
Squad,RCSBlock,RV-105 RCS Thruster Block,STEADLER Engineering Corps,"The recent discovery of a third law of physics made it possible for STEADLER Corps engineers to produce these small monopropellant thrusters, to help with attitude control and linear motion. Even though many Kerbal physicists still dispute the validity of this new law, studies show that the thrusters seem to work as advertised.",advFlightControl,none,Radial,,attachRules/bulkheadProfiles,TRUE,category=none
SquadExpansion,kv3Pod,KV-3 'Pomegranate' Reentry Module,Probodobodyne Inc,Many little Kerbals inside this one. Couldn’t fit more.,advFlightControl,Pods,Small,1.25,bulkheadProfiles,FALSE,
SquadExpansion,Mk2Pod,Mk2 Command Pod,C7 Aerospace Division,Twin-seater for when a single Kerbal feels too lonely.,advFlightControl,Pods,Medium,1.875,bulkheadProfiles,FALSE,
StationPartsExpansionRedux,sspx-core-125-1,PAS-8R 'Pier' Station Core,Kerbalmax Industries,"The low tech Pier provides a place for running a small station and controlling local probes. Can be manned by up to two Kerbals, though it isn't comfy.",advFlightControl,Pods,Radial,,attachRules/bulkheadProfiles,FALSE,
StationPartsExpansionRedux,sspx-core-1875-1,PMA-2 'Quay' Station Core,Kerbalmax Industries,The Quay module serves as a station control point and probe control facility for several kerbals.,advFlightControl,Pods,Radial,,attachRules/bulkheadProfiles,FALSE,
ReStockPlus,restock-fueltank-1875-1,FL-X1800 Liquid Fuel Tank,Jebediah Kerman's Junkyard and Spacecraft Parts Co,The FL-X series is the size-wise successor to the FL-T series and gets you more fuel without running into Rockomax patent territory.,advFuelSystems,FuelTank,Radial,,attachRules/bulkheadProfiles,FALSE,
Squad,adapterSize2-Size1,C7 Brand Adapter - 2.5m to 1.25m,C7 Aerospace Division,"While the popular Rockomax Adapter has served its purpose fairly well over the years, C7 engineers thought they could do better. Improvements of this in-house product include an integrated fuel tank and a longer structural frame.",advFuelSystems,FuelTank,Radial,,attachRules/bulkheadProfiles,FALSE,
Squad,adapterSize2-Size1Slant,C7 Brand Adapter Slanted - 2.5m to 1.25m,C7 Aerospace Division,"While the popular Rockomax Adapter has served its purpose fairly well over the years, C7 engineers thought they could do better. Improvements of this in-house product include an integrated fuel tank and a longer structural frame.",advFuelSystems,FuelTank,Radial,,attachRules/bulkheadProfiles,FALSE,
Squad,RCSTank1-2,FL-R750 RCS Fuel Tank,Jebediah Kerman's Junkyard and Spacecraft Parts Co,A larger-scale version of the standard RCS fuel tank.,advFuelSystems,FuelTank,Large,2.5,bulkheadProfiles,FALSE,
Squad,rcsTankMini,FL-R20 RCS Fuel Tank,Jebediah Kerman's Junkyard and Spacecraft Parts Co,The FL-R20 is a miniature RCS tank for small probes and low volume monopropellant storage.,advFuelSystems,FuelTank,Radial,,attachRules/bulkheadProfiles,FALSE,
Squad,RCSFuelTank,FL-R120 RCS Fuel Tank,Jebediah Kerman's Junkyard and Spacecraft Parts Co,"These fuel tanks store monopropellant for RCS thrusters. New advances in plumbing technology made it possible to route RCS lines to any point in the ship. So unlike liquid fuel tanks, RCS Fuel tanks can be placed anywhere.",advFuelSystems,FuelTank,Small,1.25,bulkheadProfiles,FALSE,
Squad,Rockomax64_BW,Rockomax Jumbo-64 Fuel Tank,Rockomax Conglomerate,"The largest tank available from Rockomax, the Jumbo-64 holds a vast amount of fuel in a friendly orange insulated container. Contrary to popular belief, the Jumbo-64 is NOT orange flavored and should NOT be tasted.",advFuelSystems,FuelTank,Radial,,attachRules/bulkheadProfiles,FALSE,
Squad,fuelTank3-2,Rockomax Jumbo-64 Fuel Tank,Rockomax Conglomerate,"The largest tank available from Rockomax, the Jumbo-64 holds a vast amount of fuel in a friendly orange insulated container. Contrary to popular belief, the Jumbo-64 is NOT orange flavored and should NOT be tasted.",advFuelSystems,none,Radial,,attachRules/bulkheadProfiles,TRUE,category=none
SquadExpansion,Size1p5_Monoprop,FL-R400 RCS Fuel Tank,Stratus Corporation,A larger-scaled version of the standard RCS tank.,advFuelSystems,FuelTank,Medium,1.875,bulkheadProfiles,FALSE,
SquadExpansion,Size1p5_Tank_04,FL-TX1800 Fuel Tank,Jebediah Kerman's Junkyard and Spacecraft Parts Co,"Designed as an intermediary tank between the smaller FL-T series and the larger Rockomax tanks, the FL-TX series helps you get just the right amount of boom.",advFuelSystems,FuelTank,Radial,,attachRules/bulkheadProfiles,FALSE,
StationPartsExpansionRedux,sspx-cargo-container-radial-medium-1,KRDA-T1600 Cargo Container,Kerbin Resource Development Administration,An assembly of sixteen small cargo containers suitable for transport to the far reaches of the solar system. Can store any of a wide variety of cargoes.,advFuelSystems,Payload,Radial,,attachRules/bulkheadProfiles,FALSE,
StationPartsExpansionRedux,sspx-cargo-container-radial-medium-2,KRDA-T800 Cargo Container,Kerbin Resource Development Administration,An assembly of eight small cargo containers suitable for transport to the far reaches of the solar system. Can store any of a wide variety of cargoes.,advFuelSystems,Payload,Radial,,attachRules/bulkheadProfiles,FALSE,
StationPartsExpansionRedux,sspx-cargo-container-radial-small-1,KRDA-O800 Cargo Container,Kerbin Resource Development Administration,An assembly of eight small cargo containers suitable for transport to the far reaches of the solar system. Can store any of a wide variety of cargoes.,advFuelSystems,Payload,Radial,,attachRules/bulkheadProfiles,FALSE,
Squad,HeatShield3,Heat Shield (3.75m),O.M.B. Demolition Enterprises,A large structural heat shield with an integrated fairing,advLanding,Thermal,XL,3.75,bulkheadProfiles,FALSE,
Squad,landingLeg1-2,LT-2 Landing Strut,Moving Parts Experts Group,"The LT-2 Landing Strut offers a heavy-duty method for planting yourself firmly on the ground, without the severe consequences that usually accompany planting yourself firmly on the ground.",advLanding,Ground,Radial,,attachRules/bulkheadProfiles,FALSE,
Squad,parachuteDrogue,Mk25 Parachute,,"The Mk25 is what's known as a ""Drogue"" parachute - small, deploys high up, and certainly not enough to stop you smashing into the ground on its own, but useful for slowing heavy craft down before the deployment of your main chutes.",advLanding,Utility,Radial,,attachRules/bulkheadProfiles,FALSE,
Squad,GearSmall,LY-35 Medium Landing Gear,LightYear Tire Company,High performance retractable landing gear. This bigger version features two large tires to support big and heavy planes. The longer assembly allows for improved ground clearance.,advLanding,Ground,Radial,,attachRules/bulkheadProfiles,FALSE,
SquadExpansion,rotor_01,EM-16 Light Duty Rotor,Kerbal Motion LLC,"A small low-torque, high RPM electric motor",advLanding,Robotics,Radial,,attachRules/bulkheadProfiles,FALSE,
SquadExpansion,rotor_01s,EM-16S Light Duty Rotor,Kerbal Motion LLC,"A small low-torque, high RPM electric motor. The smaller attachment head allows for more power applied to a smaller space. No warranty applies if you attempt to duplicate a blender with it.",advLanding,Robotics,Radial,,attachRules/bulkheadProfiles,FALSE,
StationPartsExpansionRedux,sspx-adjusting-base-125-1,BZ-1 Adjustable Base Frame,Kerbalmax Industries,"This specialized 1.25m assembly mounts three landing pylons for surface bases. Though these pylons lack shock absorbing functions and are thus wholly unsuitable for hard landings, the individually adjustable legs allow easy base leveling. An advanced computer function can even attempt to level itself, if you wish.",advLanding,Ground,Small,1.25,bulkheadProfiles,FALSE,
StationPartsExpansionRedux,sspx-adjusting-base-1875-1,BZ-1B Adjustable Base Frame,Kerbalmax Industries,"This specialized 1.875m assembly mounts three landing pylons for surface bases. Though these pylons lack shock absorbing functions and are thus wholly unsuitable for hard landings, the individually adjustable legs allow easy base leveling. An advanced computer function can even attempt to level itself, if you wish.",advLanding,Ground,Small,1.25,bulkheadProfiles,FALSE,
StationPartsExpansionRedux,sspx-adjusting-stairs-1,B-ST41R Extensible Stairway,Kerbalmax Industries,"After the invention of the technological marvel that is the ladder, Kerbalmax has introduced the tilted ladder, or 'staircase'. Courage.",advLanding,Ground,Radial,,attachRules/bulkheadProfiles,FALSE,
ReStockPlus,restock-airlock-1,AL-1 'Lychee' Inflatable Docking Airlock,Probodobodyne Inc,"Being able to traverse between the inside and outside of things has been a recurring challenge for Kerbals for millennia. This airlock solves that problem in a sleek inflatable package, and includes a docking ring compatible with the Clamp-O-Tron jr. to boot!",advMetalworks,Coupling,Radial,,attachRules/bulkheadProfiles,FALSE,
ReStockPlus,restock-truss-3,Modular Girder Segment XXL,,Compete directly with other space programs in girder size contests with this new Modular Girder product.,advMetalworks,Structural,Radial,,attachRules/bulkheadProfiles,FALSE,
ReStockPlus,restock-truss-hub-1,Modular Girder Hub,,Connect many modular girder segments together in perpendicular orientations with this new product.,advMetalworks,Structural,Radial,,attachRules/bulkheadProfiles,FALSE,
Squad,trussPiece3x,Modular Girder Segment XL,Maxo Construction Toys,Now even bigger! Build larger structures of larger dreams!,advMetalworks,Structural,Radial,,attachRules/bulkheadProfiles,FALSE,
Squad,dockingPort1,Clamp-O-Tron Shielded Docking Port,,"Invented after a peaceful protest against the lack of spacecraft attachment systems turned violent, the Clamp-O-Tron Docking Port allows for the firm attachment of two separate vessels. After docking, vessels can be just as easily undocked. The Shielded version has deployable fins to protect the port during ascent.",advMetalworks,Coupling,Radial,,attachRules/bulkheadProfiles,FALSE,
Squad,stackQuadCoupler,TVR-2160C Mk2 Stack Quad-Coupler,O.M.B. Demolition Enterprises,"What could be more awesome than a Tricoupler? Why, a quadcoupler, of course. Just remember that this is not a decoupler, and will not separate stages.",advMetalworks,Structural,Small,1.25,bulkheadProfiles,FALSE,
Squad,stackSeparatorBig,TR-XL Stack Separator,O.M.B. Demolition Enterprises,"The TR-XL Stack Separator is the largest available from O.M.B, designed for slicing the largest of rockets in twain. Unlike Decouplers, Separators will eject anything connected to themselves. This is good, as it removes the need to worry about which side needs to be pointed away from face. Try to not look at it too much though.",advMetalworks,none,Large,2.5,bulkheadProfiles,TRUE,category=none
Squad,dockingPort1,Clamp-O-Tron Shielded Docking Port,,"Invented after a peaceful protest against the lack of spacecraft attachment systems turned violent, the Clamp-O-Tron Docking Port allows for the firm attachment of two separate vessels. After docking, vessels can be just as easily undocked. The Shielded version has deployable fins to protect the port during ascent.",advMetalworks,Coupling,Radial,,attachRules/bulkheadProfiles,FALSE,
Squad,stackQuadCoupler,TVR-2160C Mk2 Stack Quad-Coupler,O.M.B. Demolition Enterprises,"What could be more awesome than a Tricoupler? Why, a quadcoupler, of course. Just remember that this is not a decoupler, and will not separate stages.",advMetalworks,Structural,Small,1.25,bulkheadProfiles,FALSE,
SquadExpansion,InflatableAirlock,Inflatable Airlock,Jebediah Kerman's Junkyard and Spacecraft Parts Co,"When trying to dock and that last small distance is just too far. This adaptor, with patented extend‘o’matic subsystems for extra portability, will fill the gap. Not to be used as an accordian.",advMetalworks,Coupling,Radial,,attachRules/bulkheadProfiles,FALSE,
StationPartsExpansionRedux,sspx-inflatable-centrifuge-25-1,PPF-C 'Coriolis' Inflatable Centrifuge Module,Kerbalmax Industries,"The largest available inflatable centrifuge provides living area for eight Kerbals in great comfort. Expanded to its diameter of 15m and spinning, it provides a solid 0.5g of gravity, helping with all sorts of health issues. Contains some exercise equipment, a wardroom, common areas - the works!",advMetalworks,Utility,Large,2.5,bulkheadProfiles,FALSE,
StationPartsExpansionRedux,sspx-inflatable-hab-25-1,PPF-A 'Dirigible' Inflatable Habitation Module,Kerbalmax Industries,"The single largest inflatable habitat on the market. Holds many Kerbals (eighteen!) in some comfort. Limited sleeping space means that only nine Kerbals have beds at once - however the others can relax in common areas, take a shower, congregate in a wardroom or take turns at the exercise equipment.",advMetalworks,Utility,Large,2.5,bulkheadProfiles,FALSE,
StationPartsExpansionRedux,sspx-inflatable-hab-25-2,PPF-B 'Blimp' Inflatable Habitation Module,Kerbalmax Industries,"A smaller  but large inflatable habitat. Still, nine Kerbals is a pretty nice amount for its low footprint when compressed. Six beds are available with lots of room to move around. In addition, full shower and toilet facilities are available.",advMetalworks,Utility,Large,2.5,bulkheadProfiles,FALSE,
StationPartsExpansionRedux,sspx-adjusting-base-cradle-125-1,BR-1 Adjustable Base Cradle,Kerbalmax Industries,"Mounting a pair of legs with a narrow spacing (1.25m), this mount can cradle large modules and individually adjust each leg's extension for easy leveling.",advMetalworks,Ground,Radial,,attachRules/bulkheadProfiles,FALSE,
StationPartsExpansionRedux,sspx-adjusting-base-cradle-1875-1,BR-1B Adjustable Base Cradle,Kerbalmax Industries,"Mounting a pair of legs with a somewhat small 1.875m, this mount can cradle large modules and individually adjust each leg's extension for easy leveling.",advMetalworks,Ground,Radial,,attachRules/bulkheadProfiles,FALSE,
StationPartsExpansionRedux,sspx-adjusting-base-cradle-25-1,BR-2 Adjustable Base Cradle,Kerbalmax Industries,"Mounting a pair of legs with a 2.5m spacing, this mount can cradle medium modules and individually adjust each leg's extension for easy leveling.",advMetalworks,Ground,Radial,,attachRules/bulkheadProfiles,FALSE,
StationPartsExpansionRedux,sspx-adjusting-base-cradle-375-1,BR-3 Adjustable Base Cradle,Kerbalmax Industries,"Mounting a pair of legs with a wide spacing (3.75m, in fact), this mount can cradle large modules and individually adjust each leg's extension for easy leveling.",advMetalworks,Ground,Radial,,attachRules/bulkheadProfiles,FALSE,
StationPartsExpansionRedux,sspx-adjusting-base-cradle-5-1,BR-4 Adjustable Base Cradle,Kerbalmax Industries,"Mounting a pair of legs with a very wide spacing of a whole 5m, this mount can cradle extra-large modules and individually adjust each leg's extension for easy leveling.",advMetalworks,Ground,Radial,,attachRules/bulkheadProfiles,FALSE,
StationPartsExpansionRedux,sspx-cargo-25-1,PPD-TRUSS Storage Module,Kerbalmax Industries,The larger PPD-series storage modules can contain a lot of utility parts and stow many things on orbit. Doors with well-machined handles allow access to these... things.,advMetalworks,Payload,Large,2.5,bulkheadProfiles,FALSE,
StationPartsExpansionRedux,sspx-cargo-25-2,PPD-TRUSS-S Storage Module,Kerbalmax Industries,The larger PPD-series storage modules can contain a lot of utility parts and stow many things on orbit. This model is shorter and has two less doors.,advMetalworks,Payload,Large,2.5,bulkheadProfiles,FALSE,
StationPartsExpansionRedux,sspx-attach-375-1,PXL-AR Pressurized Radial Attachment Module,Kerbalmax Industries,"For when you need to connect a really large tube to another really large tube. Oh, and air is a requirement.",advMetalworks,Structural,Radial,,attachRules/bulkheadProfiles,FALSE,
StationPartsExpansionRedux,sspx-tube-375-1,PXL-T1 Pressurized Crew Tube,Kerbalmax Industries,"Large and structurally solid, the PXL-T series is the last word in pressurized spacecraft spines. This model is very large. Has integrated EVA rails.",advMetalworks,Structural,Radial,,attachRules/bulkheadProfiles,FALSE,
StationPartsExpansionRedux,sspx-tube-375-2,PXL-T2 Pressurized Crew Tube,Kerbalmax Industries,"Large and structurally solid, the PXL-T series is the last word in pressurized spacecraft spines. This model is medium-sized. Has integrated EVA rails.",advMetalworks,Structural,Radial,,attachRules/bulkheadProfiles,FALSE,
StationPartsExpansionRedux,sspx-tube-375-3,PXL-T3 Pressurized Crew Tube,Kerbalmax Industries,"Large and structurally solid, the PXL-T series is the last word in pressurized spacecraft spines. This model is petite. Has integrated EVA rails.",advMetalworks,Structural,Radial,,attachRules/bulkheadProfiles,FALSE,
ReStockPlus,restock-fueltank-sphere-1875-1,FL-TX220-R Hemispherical Liquid Fuel Tank,Jebediah Kerman's Junkyard and Spacecraft Parts Co,"Hey, it's a round, hemispherical tank carrying rocket fuel - also available in several colours.",advRocketry,FuelTank,Radial,,attachRules/bulkheadProfiles,FALSE,
ReStockPlus,restock-fueltank-1875-4,FL-X220 Liquid Fuel Tank,Jebediah Kerman's Junkyard and Spacecraft Parts Co,"Diminutively sized, this tank nevertheless can provide sufficient impulse for a well-conceived or spur of the moment burn.",advRocketry,FuelTank,Radial,,attachRules/bulkheadProfiles,FALSE,
ReStockPlus,restock-fueltank-adapter-1875-125-2,FL-XA160 Fuel Tank Adapter,Jebediah Kerman's Junkyard and Spacecraft Parts Co,"Much like its larger brother, this part steps from 1.25m to 1.875m and is chock full of craft-grade rocket fuel.",advRocketry,FuelTank,Radial,,attachRules/bulkheadProfiles,FALSE,
Squad,liquidEngine3_v2,"LV-909 ""Terrier"" Liquid Fuel Engine",Jebediah Kerman's Junkyard and Spacecraft Parts Co,"The 909 model was initially received with some skepticism by spacecraft engineers, as it defied the long-standing convention that ""More Power!"" is always better. Despite this, the 909 series has found its place in the spacecraft construction world, being particularly useful as a final stage and landing engine.",advRocketry,Engine,Small,1.25,bulkheadProfiles,FALSE,
Squad,radialLiquidEngine1-2,"Mk-55 ""Thud"" Liquid Fuel Engine",Rockomax Conglomerate,"After an intensive search for an engineer crazy enough to plan and build a revolutionary new engine type, researchers turned to renowned engineer Eumon Kerman, one of the top minds in the industry. He failed miserably at the job, and this is what we ended up with. Hey, at least it works well with other large (Rockomax) engines when you want more control. Sorry, no combo deals.",advRocketry,Engine,Radial,,attachRules/bulkheadProfiles,FALSE,
Squad,fuelTank,FL-T400 Fuel Tank,Jebediah Kerman's Junkyard and Spacecraft Parts Co,"The FL series was received as a substantial upgrade over previous fuel containers used in the Space Program, generally due to its ability to keep the fuel unexploded more often than not. Fuel tanks are useless if there isn't a Liquid Engine attached under it. They can also be stacked with other fuel tanks to increase the amount of fuel for the engine below.",advRocketry,FuelTank,Radial,,attachRules/bulkheadProfiles,FALSE,
Squad,fireworksLauncherBig,Starshot-32,Reaction Systems Ltd,"Jebediah Kerman eats danger for breakfast, lunch, and dinner at his day job as the KSC resident daredevil pilot. But what does he do when he wants to relax on the weekends? He fills firework canisters at his state of the art junkyard facility.\n\nThe Starshot-32 is a large firework launcher, if this one goes off at the wrong time you may be looking for more than just a refund.",advRocketry,Utility,Radial,,attachRules/bulkheadProfiles,FALSE,
Squad,fireworksLauncherSmall,Starshot-8,Reaction Systems Ltd,"Jebediah Kerman eats danger for breakfast, lunch, and dinner at his day job as the KSC resident daredevil pilot. But what does he do when he wants to relax on the weekends? He fills firework canisters at his state of the art junkyard facility.\n\nThe Starshot-8 has enough fireworks for a quickshow - or you can set up an array of them to really rival the big bangs on the launchpad. Guaranteed to go off when you want them to or the next one is half off.",advRocketry,Utility,Radial,,attachRules/bulkheadProfiles,FALSE,
Squad,liquidEngine3,"LV-909 ""Terrier"" Liquid Fuel Engine",Jebediah Kerman's Junkyard and Spacecraft Parts Co,"The 909 model was initially received with some skepticism by spacecraft engineers, as it defied the long-standing convention that ""More Power!"" is always better. Despite this, the 909 series has found its place in the spacecraft construction world, being particularly useful as a final stage and landing engine.",advRocketry,none,Small,1.25,bulkheadProfiles,TRUE,category=none
Squad,fuelTank,FL-T400 Fuel Tank,Jebediah Kerman's Junkyard and Spacecraft Parts Co,"The FL series was received as a substantial upgrade over previous fuel containers used in the Space Program, generally due to its ability to keep the fuel unexploded more often than not. Fuel tanks are useless if there isn't a Liquid Engine attached under it. They can also be stacked with other fuel tanks to increase the amount of fuel for the engine below.",advRocketry,FuelTank,Radial,,attachRules/bulkheadProfiles,FALSE,
SquadExpansion,Size1p5_Size1_Adapter_02,FL-A151S Fuel Tank Adapter,Jebediah Kerman's Junkyard and Spacecraft Parts Co,These fuel-filled adapters come in a variety of sizes for connecting larger and smaller tanks.,advRocketry,FuelTank,Radial,,attachRules/bulkheadProfiles,FALSE,
SquadExpansion,Size1p5_Tank_01,FL-TX220 Fuel Tank,Jebediah Kerman's Junkyard and Spacecraft Parts Co,"Designed as an intermediary tank between the smaller FL-T series and the larger Rockomax tanks, the FL-TX series helps you get just the right amount of boom.",advRocketry,FuelTank,Radial,,attachRules/bulkheadProfiles,FALSE,
Squad,ISRU,Convert-O-Tron 250,Kerbodyne,"This mobile processing plant can take raw materials containing even trace amounts of oxygen and hydrogen, and crack them into useful fuel products.  When operated by a skilled engineer, you will be able to operate with better efficiency.  These modules operate best at their ideal operating temperatures, and feature auto-shutdown in the event of excessive overheating.  Radiators can be used to help manage excessive heat.",advScienceTech,Utility,Radial,,attachRules/bulkheadProfiles,FALSE,
Squad,MiniDrill,Drill-O-Matic Junior' Mining Excavator,Kerbodyne,"A smaller version of the popular Drill-O-Matic, this drill is designed to help extract valuable resources from the crust of planets and asteroids.  Unlike its larger cousin, this smaller model is only suitable for ore concentrations in excess of 2.5%.  When operated by a skilled engineer, you will be able to operate with better efficiency.  These modules operate best at their ideal operating temperatures, and feature auto-shutdown in the event of excessive overheating.  Radiators can be used to help manage excessive heat.",advScienceTech,Utility,Radial,,attachRules/bulkheadProfiles,FALSE,
Squad,MiniISRU,Convert-O-Tron 125,Kerbodyne,"A smaller version of Kerbodyne's mobile processing plant, this module can take raw materials containing even trace amounts of oxygen and hydrogen, and crack them into useful fuel products.  When operated by a skilled engineer, you will be able to operate with better efficiency.  While this smaller model is lighter than its bigger cousin, it is less efficient, and not designed for long-term operations.  These modules operate best at their ideal operating temperatures, and feature auto-shutdown in the event of excessive overheating.  Radiators can be used to help manage excessive heat.",advScienceTech,Utility,Small,1.25,bulkheadProfiles,FALSE,
Squad,RadialDrill,Drill-O-Matic' Mining Excavator,Kerbodyne,"Designed to help extract valuable resources from the crust of planets and asteroids, the Drill-O-Matic uses a rotary drill combined with an internal transfer auger to pull crushed regolith into holding tanks for later processing.  When operated by a skilled engineer, you will be able to operate with better efficiency.  These modules operate best at their ideal operating temperatures, and feature auto-shutdown in the event of excessive overheating.  Radiators can be used to help manage excessive heat.",advScienceTech,Utility,Radial,,attachRules/bulkheadProfiles,FALSE,
Squad,RadialOreTank,Radial Holding Tank,Jebediah Kerman's Junkyard and Spacecraft Parts Co,"A small radial tank for storing raw materials, or possibly spare snacks.",advScienceTech,FuelTank,Radial,,attachRules/bulkheadProfiles,FALSE,
Squad,SmallTank,Small Holding Tank,Jebediah Kerman's Junkyard and Spacecraft Parts Co,"A small tank for storing raw materials, or possibly spare snacks.",advScienceTech,FuelTank,Radial,,attachRules/bulkheadProfiles,FALSE,
Squad,sensorGravimeter,GRAVMAX Negative Gravioli Detector,Probodobodyne Inc,"A device for capturing and measuring the elusive Negative Gravioli Particle, used for determining the precise strength of gravitational fields. Warranty void if used to detect Positive Gravioli Particles.",advScienceTech,Science,Radial,,attachRules/bulkheadProfiles,FALSE,
SquadExpansion,DeployedIONExp,Ionographer PD-22,Ionic Symphonic Protonic Electronics,"Normally in the business of building things that emit tons of Ions, ISPE has instead turned their hands to this nifty little gadget that helps detect them. \n\nWas it because of their devotion to the expansion of our universe? Or does it have something to do with the special, free filters they built meant to help 'screen out erroneous signals from nearby ion-generating devices'.\n\nNote: Please allow trained Scientists to deploy for best results. <color=orange>Needs a deployed power unit & central station to operate.</color>",advScienceTech,Cargo,,,,FALSE,
SquadExpansion,RobotArmScanner_S3,OP-E Large Scanning Arm,Experimental Engineering Group,"The Experimental Engineering Group's marketing department claims this is another once-in-a-lifetime achievement. We're starting to get suspicious!\n\nNonetheless, this even larger rover arm has four separate instruments, and we can't think of what else they might add, so this is probably the top of the line model from them.",advScienceTech,Science,Radial,,attachRules/bulkheadProfiles,FALSE,
StationPartsExpansionRedux,sspx-aquaculture-375-1,PXL-F15H Aquaculture Module,Kerbalmax Industries,"For additional variety in food production and radiation protection, Kerbalmax has designed the weighty acquculture module. Various tanks hold delicious morsels ranging from smelt, through blowfish, to shramp. Hopefully using radiation shielding as a growing medium won't have any side effects. Has integrated EVA rails.",advScienceTech,Science,XL,3.75,bulkheadProfiles,FALSE,
StationPartsExpansionRedux,sspx-cupola-375-1,PXL-9 'Vista' Astrogation Module,Kerbalmax Industries,"Useful for observing planets, spotting stars and just overall increasing your ship's total window count. Functions as both an observation center and a basic control room. Has integrated EVA rails.",advScienceTech,Pods,XL,3.75,bulkheadProfiles,FALSE,
StationPartsExpansionRedux,sspx-greenhouse-375-1,PXL-R4NCH-3R Hydroponics Module,Kerbalmax Industries,This wide greenhouse module can supply several Kerbals with a sufficient supply of kale to make them wish they didn't have a supply of kale. Has integrated EVA rails.,advScienceTech,Science,XL,3.75,bulkheadProfiles,FALSE,
StationPartsExpansionRedux,sspx-lab-375-1,PXL-2 'Fate' Deep-Space Laboratory Module,Kerbalmax Industries,Doing science in deep space is pretty much the same as doing science in regular space. This well-appointed lab was recently renovated with a full remodel - the owner has added an experiment airlock to complement the modern facilities. Has integrated EVA rails.,advScienceTech,Science,XL,3.75,bulkheadProfiles,FALSE,
StationPartsExpansionRedux,sspx-cupola-greenhouse-125-1,PAS-G 'G4RD3N' Hydroponics Cupola,Post-Kerbin Mining Corporation,"A miniaturized hydroponics capsule from growing decorative or even editable plants, if you have enough intestinal fortitude.",advScienceTech,Science,Radial,,attachRules/bulkheadProfiles,FALSE,
StationPartsExpansionRedux,sspx-cupola-telescope-125-1,PAS-T 'Oculus' Remote Telescope,Post-Kerbin Mining Corporation,A small remotely operated telescope enclosed in a protective cupola. Study the stars or nearby planets from the (relative) safety of your own command capsule.,advScienceTech,Science,Radial,,attachRules/bulkheadProfiles,FALSE,
StationPartsExpansionRedux,sspx-dome-5-1,SDV-G1 'Tholos' Geodesic Dome,Kerbalmax Industries,"The G1 is a novel geodesic dome and is a blank canvas for whatever you want to install inside it. Optionally, up to four attach nodes can be installed at cardinal points for connecting airlocks and other base equipment.",advScienceTech,Utility,Radial,,attachRules/bulkheadProfiles,FALSE,
StationPartsExpansionRedux,sspx-dome-cupola-5-1,SDV-G4 'Astrolabe' Observation Dome,Kerbalmax Industries,"Observation dome with special holographic projection equipment for charting courses, reading horoscopes and high-fidelity virtual reality gaming. Can also be used by a probe control point, holding up to two kerbals. Retains the G1's quartet of optional attach points.",advScienceTech,Pods,Radial,,attachRules/bulkheadProfiles,FALSE,
StationPartsExpansionRedux,sspx-dome-greenhouse-5-1,SDV-G2 'Villa' Cultivation Dome,Kerbalmax Industries,"Installing various hydroponics equipment into a G1 dome creates quite the garden paradise. Can be tended by up to two Kerbals, assuming they don't pilfer the fish from the aquaponics loop. Retains the G1's quartet of optional attach points.",advScienceTech,Science,Radial,,attachRules/bulkheadProfiles,FALSE,
StationPartsExpansionRedux,sspx-dome-habitation-5-1,SDV-G3 'Domus' Habitation Dome,Kerbalmax Industries,The G3 is formed by adding habitation equipment and luxury teak decking to a G1 dome. This model can house up to six happy Kerbals. Retains the G1's quartet of optional attach points.,advScienceTech,Utility,Radial,,attachRules/bulkheadProfiles,FALSE,
